month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile,man_hud_opt,man_hud_pess,population_hud_opt,population_hud_pess,real_fare_q1,num_wkdayholminor,num_satholmajor,num_sun,total_days,,,
10/1/97,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,594.8236915,1.564567615,NA,NA,NA,2313.950886,NA,NA,NA,2313.923385,2313.950886,594.8237071,594.8237071,1.635856848,NA,NA,NA,NA,,,
11/1/97,NA,NA,NA,NA,NA,17,5,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,595.2630635,1.567296512,NA,NA,NA,2319.208344,NA,NA,NA,2319.182592,2319.208344,595.2630831,595.2630831,1.634358223,NA,NA,NA,NA,,,
12/1/97,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,595.7135153,1.568208261,NA,NA,NA,2324.633528,NA,NA,NA,2324.611216,2324.633528,595.7135283,595.7135283,1.633662993,NA,NA,NA,NA,,,
1/1/98,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,596.1650072,1.566385822,NA,NA,NA,2330.378234,NA,NA,NA,2330.35912,2330.378234,596.1650109,596.1650109,1.632872885,NA,NA,NA,NA,,,
2/1/98,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,596.6096155,1.560943833,NA,NA,NA,2336.591297,NA,NA,NA,2336.573669,2336.591297,596.6096133,596.6096133,1.631301915,NA,NA,NA,NA,,,
3/1/98,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,597.0478803,1.558236994,NA,NA,NA,2343.4097,NA,NA,NA,2343.392248,2343.4097,597.0478751,597.0478751,1.629100376,NA,NA,NA,NA,,,
4/1/98,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,597.4824578,1.558236994,NA,NA,NA,2350.96746,NA,NA,NA,2350.949748,2350.96746,597.4824502,597.4824502,1.626625513,NA,NA,NA,NA,,,
5/1/98,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,597.9165844,1.558236994,NA,NA,NA,2359.132084,NA,NA,NA,2359.114283,2359.132084,597.9165738,597.9165738,1.624144991,NA,NA,NA,NA,,,
6/1/98,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,598.3558181,1.5573368,NA,NA,NA,2366.70503,NA,NA,NA,2366.686875,2366.70503,598.3558053,598.3558053,1.62158058,NA,NA,NA,NA,,,
7/1/98,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,598.8062972,1.552851382,NA,NA,NA,2372.221243,NA,NA,NA,2372.201768,2372.221243,598.8062855,598.8062855,1.618769677,NA,NA,NA,NA,,,
8/1/98,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,599.272151,1.54750287,NA,NA,NA,2374.891747,NA,NA,NA,2374.869608,2374.891747,599.272145,599.272145,1.615680304,NA,NA,NA,NA,,,
9/1/98,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,599.7494729,1.545728211,NA,NA,NA,2376.631887,NA,NA,NA,2376.606633,2376.631887,599.749474,599.749474,1.612792123,NA,NA,NA,NA,,,
10/1/98,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,600.2323469,1.542191076,NA,NA,NA,2380.033084,NA,NA,NA,2380.005478,2380.033084,600.2323528,600.2323528,1.610705567,NA,NA,NA,NA,,,
11/1/98,NA,NA,NA,NA,NA,18,4,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,600.7155346,1.543073841,NA,NA,NA,2386.738911,NA,NA,NA,2386.710719,2386.738911,600.71554,600.71554,1.609740509,NA,NA,NA,NA,,,
12/1/98,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,601.1965065,1.543073841,NA,NA,NA,2394.601531,NA,NA,NA,2394.574687,2394.601531,601.1965078,601.1965078,1.609115636,NA,NA,NA,NA,,,
1/1/99,NA,NA,NA,NA,NA,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,601.6734103,1.540428571,NA,NA,NA,2400.525256,NA,NA,NA,2400.501655,2400.525256,601.6734067,601.6734067,1.607778611,NA,NA,NA,NA,,,
2/1/99,NA,NA,NA,NA,NA,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,602.14541,1.539548829,NA,NA,NA,2402.48411,NA,NA,NA,2402.465304,2402.48411,602.1454032,602.1454032,1.604985994,NA,NA,NA,NA,,,
3/1/99,NA,NA,NA,NA,NA,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,602.6157346,1.536039886,NA,NA,NA,2402.730962,NA,NA,NA,2402.716952,2402.730962,602.6157268,602.6157268,1.601206302,NA,NA,NA,NA,,,
4/1/99,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,603.0886298,1.531676136,NA,NA,NA,2404.588391,NA,NA,NA,2404.577327,2404.588391,603.0886231,603.0886231,1.597202068,NA,NA,NA,NA,,,
5/1/99,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,603.5684491,1.53080636,NA,NA,NA,2410.332491,NA,NA,NA,2410.321234,2410.332491,603.5684455,603.5684455,1.593545069,NA,NA,NA,NA,,,
6/1/99,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,604.0599789,1.524745475,NA,NA,NA,2418.053416,NA,NA,NA,2418.039783,2418.053416,604.0599797,604.0599797,1.590091801,NA,NA,NA,NA,,,
7/1/99,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,604.5681139,1.521303612,NA,NA,NA,2424.794835,NA,NA,NA,2424.778162,2424.794835,604.5681194,604.5681194,1.586525987,NA,NA,NA,NA,,,
8/1/99,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,605.0953139,1.517877252,NA,NA,NA,2428.607953,NA,NA,NA,2428.588828,2428.607953,605.0953234,605.0953234,1.582598579,NA,NA,NA,NA,,,
9/1/99,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,605.634299,1.512766554,NA,NA,NA,2431.574124,NA,NA,NA,2431.553319,2431.574124,605.6343102,605.6343102,1.578310471,NA,NA,NA,NA,,,
10/1/99,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,606.1753547,1.506847401,NA,NA,NA,2436.782242,NA,NA,NA,2436.760443,2436.782242,606.1753633,606.1753633,1.573723922,NA,NA,NA,NA,,,
11/1/99,NA,NA,NA,NA,NA,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,606.7107525,1.507690157,NA,NA,NA,2446.420218,NA,NA,NA,2446.39814,2446.420218,606.7107535,606.7107535,1.568963754,NA,NA,NA,NA,,,
12/1/99,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,607.2407084,1.509378499,NA,NA,NA,2459.072046,NA,NA,NA,2459.050874,2459.072046,607.2407007,607.2407007,1.56440461,NA,NA,NA,NA,,,
1/1/00,NA,NA,NA,NA,NA,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,607.7674246,1.503485778,NA,NA,NA,2472.42074,232710,85325.66667,60462,2472.402238,2472.42074,607.7674125,607.7674125,1.560475441,20,6,5,31,,,
2/1/00,NA,NA,NA,NA,NA,20,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,608.2910234,1.493490305,NA,NA,NA,2484.391829,244019,94431.8,65227,2484.377918,2484.391829,608.2910144,608.2910144,1.55740307,20,5,4,29,,,
3/1/00,NA,NA,NA,NA,NA,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,608.8033071,1.485261708,NA,NA,NA,2493.880902,247544,99765,68909,2493.871963,2493.880902,608.803305,608.803305,1.554637508,23,4,4,31,,,
4/1/00,NA,NA,NA,NA,NA,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,609.2939982,1.486080485,NA,NA,NA,2500.026064,245914,100145,67410,2500.02051,2500.026064,609.2940014,609.2940014,1.551444638,20,5,5,30,,,
5/1/00,NA,NA,NA,NA,NA,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,609.7589671,1.486080485,NA,NA,NA,2502.597863,257985,92609.4,75643,2502.592692,2502.597863,609.75897,609.75897,1.547292082,22,5,4,31,,,
6/1/00,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,610.2186759,1.481181319,NA,NA,NA,2503.896615,260820,102604,77873,2503.889606,2503.896615,610.2186756,610.2186756,1.542413011,22,4,4,30,,,
7/1/00,NA,NA,NA,NA,NA,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,610.6997348,1.474699125,NA,NA,NA,2506.855078,250338,105842,72115,2506.845346,2506.855078,610.6997325,610.6997325,1.537224199,20,6,5,31,,,
8/1/00,NA,NA,NA,NA,NA,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,611.2215049,1.472282906,NA,NA,NA,2513.385351,253989,102662,76739,2513.373108,2513.385351,611.2215048,611.2215048,1.532143476,23,4,4,31,,,
9/1/00,NA,NA,NA,NA,NA,20,6,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,611.7743513,1.461903471,NA,NA,NA,2521.316887,267337,102789.5,80405,2521.302513,2521.316887,611.7743553,611.7743553,1.527621998,20,6,4,30,,,
10/1/00,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,612.3413902,1.46031961,NA,NA,NA,2527.458483,267080.9545,112181,78463,2527.442289,2527.458483,612.3413967,612.3413967,1.524112017,22,4,5,31,,,
11/1/00,NA,NA,NA,NA,NA,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,612.9072299,1.46031961,NA,NA,NA,2529.281486,266352.3132,112571.4559,72218,2529.263855,2529.281486,612.9072349,612.9072349,1.521801934,20,6,4,30,,,
12/1/00,NA,NA,NA,NA,NA,20,6,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,613.4624472,1.463490771,NA,NA,NA,2526.907464,256185,91876.83333,74820,2526.889393,2526.907464,613.4624491,613.4624491,1.519851167,20,6,5,31,,,
1/1/01,NA,NA,NA,NA,NA,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,613.999111,1.457950243,NA,NA,NA,2521.120539,258328,93508,64854,2521.103776,2521.120539,613.9991116,613.9991116,1.517173013,21,6,4,31,,,
2/1/01,NA,NA,NA,NA,NA,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,614.5170392,1.454803022,NA,NA,NA,2512.958561,259913,99738.8,64644,2512.945144,2512.958561,614.5170427,614.5170427,1.513078943,19,5,4,28,,,
3/1/01,NA,NA,NA,NA,NA,22,5,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,615.0470448,1.446217811,NA,NA,NA,2504.47429,260170,108856,71413,2504.4647,2504.47429,615.0470543,615.0470543,1.508416212,22,5,4,31,,,
4/1/01,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,615.6276896,2.167001608,NA,NA,NA,2497.974214,259015,105199,72270,2497.966914,2497.974214,615.6277061,615.6277061,2.256588016,21,4,5,30,,,
5/1/01,NA,NA,NA,NA,NA,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,616.26533,2.15890283,NA,NA,NA,2494.413849,260982,94160.6,76338,2494.405902,2494.413849,616.2653521,616.2653521,2.252864892,22,5,4,31,,,
6/1/01,NA,NA,NA,NA,NA,21,5,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,616.8375006,2.1474376,NA,NA,NA,2489.34482,262492,95778,78275,2489.334369,2489.34482,616.8375233,616.8375233,2.251127566,21,5,4,30,,,
7/1/01,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,617.1895302,2.153154952,NA,NA,NA,2476.967778,254760,100510,72905,2476.954666,2476.967778,617.189545,617.189545,2.250643954,21,5,5,31,,,
8/1/01,NA,NA,NA,NA,NA,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,617.2204772,2.149720893,NA,NA,NA,2453.832254,250885,97968,74795,2453.817611,2453.832254,617.2204742,617.2204742,2.250571458,23,4,4,31,,,
9/1/01,NA,NA,NA,NA,NA,19,6,5,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,617.044317,2.150864362,NA,NA,NA,2425.883296,202934,93006.16667,72466,2425.867894,2425.883296,617.044294,617.044294,2.249597586,19,6,5,30,,,
10/1/01,NA,NA,NA,NA,NA,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,616.8287541,2.153154952,NA,NA,NA,2401.414833,208724.5652,89945,66140,2401.398671,2401.414833,616.8287192,616.8287192,2.246298388,23,4,4,31,,,
11/1/01,NA,NA,NA,NA,NA,20,6,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,616.7043757,2.153154952,NA,NA,NA,2386.687017,196112.1782,80549.23924,63770,2386.669636,2386.687017,616.7043437,616.7043437,2.239843407,20,6,4,30,,,
12/1/01,NA,NA,NA,NA,NA,20,6,5,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,616.6532991,2.15890283,NA,NA,NA,2379.824904,178241,89199.83333,66571,2379.806632,2379.824904,616.6532786,616.6532786,2.231691815,20,6,5,31,,,
1/1/02,181507,77547,54022,77547,54022,21,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,616.620524,2.145159151,0,0,0,2376.919774,181507,75046.66667,54022,2376.902035,2376.919774,616.620514,616.620514,2.22383369,21,6,4,31,,,
2/1/02,179839,83041,57610,83041,57610,19,5,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,616.5619036,2.129344392,0,0,0,2374.669193,179839,82211.4,57610,2374.65407,2374.669193,616.5618962,616.5618962,2.217734269,19,5,4,28,,,
3/1/02,177386,89899,57979,89899,57979,21,5,5,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,616.4767047,2.115973312,0,0,0,2372.195864,177386,89899,57979,2372.184343,2372.195864,616.476695,616.476695,2.212950698,21,5,5,31,,,
4/1/02,182462,86839,60076,86839,60076,22,4,4,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,616.3750475,2.108250782,0,0,0,2369.228776,182462,86839,60076,2369.220303,2369.228776,616.3750366,616.3750366,2.208585069,22,4,4,30,,,
5/1/02,176502,81898,62811,81898,62811,22,5,4,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,616.2676169,2.11265674,0,0,0,2365.606291,176503,77315.2,62811,2365.599064,2365.606291,616.2676099,616.2676099,2.203958361,22,5,4,31,,,
6/1/02,175940,83420,66756,83420,66756,20,5,5,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,616.167357,2.111553525,0,0,0,2361.604263,175940,83420,66756,2361.596384,2361.604263,616.1673562,616.1673562,2.199211615,20,5,5,30,,,
7/1/02,169371,80263,60934,80263,60934,22,5,4,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,616.0877762,2.106054688,0,0,0,2357.60792,169371,76503,60934,2357.597685,2357.60792,616.0877802,616.0877802,2.194684912,22,5,4,31,,,
8/1/02,168532,78131,64622,78131,64622,22,5,4,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,616.0375545,2.094057483,0,0,0,2353.941384,168532,78132,64622,2353.927547,2353.941384,616.0375587,616.0375587,2.190441879,22,5,4,31,,,
