date,num_wkdayholminor,num_satholmajor,num_sun
2/1/2011,19,5,4
3/1/2011,23,4,4
4/1/2011,21,5,4
5/1/2011,21,5,5
6/1/2011,22,4,4
7/1/2011,20,6,5
8/1/2011,23,4,4
9/1/2011,21,5,4
10/1/2011,21,5,5
11/1/2011,20,6,4
12/1/2011,21,6,4
1/1/2012,20,6,5
2/1/2012,20,5,4
3/1/2012,22,5,4
4/1/2012,21,4,5
5/1/2012,22,5,4
6/1/2012,21,5,4
7/1/2012,21,5,5
8/1/2012,23,4,4
9/1/2012,19,6,5
10/1/2012,23,4,4
11/1/2012,20,6,4
12/1/2012,20,6,5
1/1/2013,21,6,4
2/1/2013,19,5,4
3/1/2013,21,5,5
4/1/2013,22,4,4
5/1/2013,22,5,4
6/1/2013,20,5,5
7/1/2013,22,5,4
8/1/2013,22,5,4
9/1/2013,20,5,5
10/1/2013,23,4,4
11/1/2013,19,7,4
12/1/2013,21,5,5
1/1/2014,21,6,4
2/1/2014,19,5,4
3/1/2014,21,5,5
4/1/2014,22,4,4
5/1/2014,21,6,4
6/1/2014,21,4,5
7/1/2014,22,5,4
8/1/2014,21,5,5
9/1/2014,21,5,4
10/1/2014,23,4,4
11/1/2014,18,7,5
12/1/2014,22,5,4
1/1/2015,20,7,4
2/1/2015,19,5,4
3/1/2015,22,4,5
4/1/2015,22,4,4
5/1/2015,20,6,5
6/1/2015,22,4,4
7/1/2015,22,5,4
8/1/2015,21,5,5
9/1/2015,21,5,4
10/1/2015,22,5,4
11/1/2015,19,6,5
12/1/2015,22,5,4
1/1/2016,19,7,5
2/1/2016,20,5,4
3/1/2016,23,4,4
4/1/2016,21,5,4
5/1/2016,21,5,5
6/1/2016,22,4,4
7/1/2016,20,6,5
8/1/2016,23,4,4
9/1/2016,21,5,4
10/1/2016,21,5,5
11/1/2016,20,6,4
12/1/2016,21,6,4
1/1/2017,20,6,5
2/1/2017,19,5,4
3/1/2017,23,4,4
4/1/2017,20,5,5
5/1/2017,22,5,4
6/1/2017,22,4,4
7/1/2017,20,6,5
8/1/2017,23,4,4
9/1/2017,20,6,4
10/1/2017,22,4,5
11/1/2017,20,6,4
12/1/2017,20,6,5
1/1/2018,21,6,4
2/1/2018,19,5,4
3/1/2018,22,5,4
4/1/2018,21,4,5
5/1/2018,22,5,4
6/1/2018,21,5,4
7/1/2018,21,5,5
8/1/2018,23,4,4
9/1/2018,19,6,5
10/1/2018,23,4,4
11/1/2018,20,6,4
12/1/2018,20,6,5
1/1/2019,21,6,4
2/1/2019,19,5,4
3/1/2019,21,5,5
4/1/2019,22,4,4
5/1/2019,22,5,4
6/1/2019,20,5,5
7/1/2019,22,5,4
8/1/2019,22,5,4
9/1/2019,20,5,5
10/1/2019,23,4,4
11/1/2019,19,7,4
12/1/2019,21,5,5
1/1/2020,21,6,4
2/1/2020,19,6,4
3/1/2020,22,4,5
4/1/2020,22,4,4
5/1/2020,20,6,5
6/1/2020,22,4,4
7/1/2020,22,5,4
8/1/2020,21,5,5
9/1/2020,21,5,4
10/1/2020,22,5,4
11/1/2020,19,6,5
12/1/2020,22,5,4
1/1/2021,19,7,5
2/1/2021,19,5,4
3/1/2021,23,4,4
4/1/2021,22,4,4
5/1/2021,20,6,5
6/1/2021,22,4,4
7/1/2021,21,6,4
8/1/2021,22,4,5
9/1/2021,21,5,4
10/1/2021,21,5,5
11/1/2021,20,6,4
12/1/2021,21,6,4
1/1/2022,20,6,5
2/1/2022,19,5,4
3/1/2022,23,4,4
4/1/2022,21,5,4
5/1/2022,21,5,5
6/1/2022,22,4,4
7/1/2022,20,6,5
8/1/2022,23,4,4
9/1/2022,21,5,4
10/1/2022,21,5,5
11/1/2022,20,6,4
12/1/2022,21,6,4
1/1/2023,20,6,5
2/1/2023,19,5,4
3/1/2023,23,4,4
4/1/2023,20,5,5
5/1/2023,22,5,4
6/1/2023,22,4,4
7/1/2023,20,6,5
8/1/2023,23,4,4
9/1/2023,20,6,4
10/1/2023,22,4,5
11/1/2023,20,6,4
12/1/2023,20,6,5
1/1/2024,21,6,4
2/1/2024,20,5,4
3/1/2024,21,5,5
4/1/2024,22,4,4
5/1/2024,22,5,4
6/1/2024,20,5,5
7/1/2024,22,5,4
8/1/2024,22,5,4
9/1/2024,20,5,5
10/1/2024,23,4,4
11/1/2024,19,7,4
12/1/2024,21,5,5
1/1/2025,21,6,4
2/1/2025,19,5,4
3/1/2025,21,5,5
4/1/2025,22,4,4
5/1/2025,21,6,4
6/1/2025,21,4,5
7/1/2025,22,5,4
8/1/2025,21,5,5
9/1/2025,21,5,4
10/1/2025,23,4,4
11/1/2025,18,7,5
12/1/2025,22,5,4
1/1/2026,20,7,4
2/1/2026,19,5,4
3/1/2026,22,4,5
4/1/2026,22,4,4
5/1/2026,20,6,5
6/1/2026,22,4,4
7/1/2026,22,5,4
8/1/2026,21,5,5
9/1/2026,21,5,4
10/1/2026,22,5,4
11/1/2026,19,6,5
12/1/2026,22,5,4
1/1/2027,19,7,5
2/1/2027,19,5,4
3/1/2027,23,4,4
4/1/2027,22,4,4
5/1/2027,20,6,5
6/1/2027,22,4,4
7/1/2027,21,6,4
8/1/2027,22,4,5
9/1/2027,21,5,4
10/1/2027,21,5,5
11/1/2027,20,6,4
12/1/2027,21,6,4
1/1/2028,20,6,5
2/1/2028,20,5,4
3/1/2028,23,4,4
4/1/2028,20,5,5
5/1/2028,22,5,4
6/1/2028,22,4,4
7/1/2028,20,6,5
8/1/2028,23,4,4
9/1/2028,20,6,4
10/1/2028,22,4,5
11/1/2028,20,6,4
12/1/2028,20,6,5
1/1/2029,21,6,4
2/1/2029,19,5,4
3/1/2029,22,5,4
4/1/2029,21,4,5
5/1/2029,22,5,4
6/1/2029,21,5,4
7/1/2029,21,5,5
8/1/2029,23,4,4
9/1/2029,19,6,5
10/1/2029,23,4,4
11/1/2029,20,6,4
12/1/2029,20,6,5
1/1/2030,21,6,4
2/1/2030,19,5,4
3/1/2030,21,5,5
4/1/2030,22,4,4
5/1/2030,22,5,4
6/1/2030,20,5,5
7/1/2030,22,5,4
8/1/2030,22,5,4
9/1/2030,20,5,5
10/1/2030,23,4,4
11/1/2030,19,7,4
12/1/2030,21,5,5
1/1/2031,21,6,4
2/1/2031,19,5,4
3/1/2031,21,5,5
4/1/2031,22,4,4
5/1/2031,21,6,4
6/1/2031,21,4,5
7/1/2031,22,5,4
8/1/2031,21,5,5
9/1/2031,21,5,4
10/1/2031,23,4,4
11/1/2031,18,7,5
12/1/2031,22,5,4
1/1/2032,20,7,4
2/1/2032,19,5,5
3/1/2032,23,4,4
4/1/2032,22,4,4
5/1/2032,20,6,5
6/1/2032,22,4,4
7/1/2032,21,6,4
8/1/2032,22,4,5
9/1/2032,21,5,4
10/1/2032,21,5,5
11/1/2032,20,6,4
12/1/2032,21,6,4
1/1/2033,20,6,5
2/1/2033,19,5,4
3/1/2033,23,4,4
4/1/2033,21,5,4
5/1/2033,21,5,5
6/1/2033,22,4,4
7/1/2033,20,6,5
8/1/2033,23,4,4
9/1/2033,21,5,4
10/1/2033,21,5,5
11/1/2033,20,6,4
12/1/2033,21,6,4
1/1/2034,20,6,5
2/1/2034,19,5,4
3/1/2034,23,4,4
4/1/2034,20,5,5
5/1/2034,22,5,4
6/1/2034,22,4,4
7/1/2034,20,6,5
8/1/2034,23,4,4
9/1/2034,20,6,4
10/1/2034,22,4,5
11/1/2034,20,6,4
12/1/2034,20,6,5
1/1/2035,21,6,4
2/1/2035,19,5,4
3/1/2035,22,5,4
4/1/2035,21,4,5
5/1/2035,22,5,4
6/1/2035,21,5,4
7/1/2035,21,5,5
8/1/2035,23,4,4
9/1/2035,19,6,5
10/1/2035,23,4,4
11/1/2035,20,6,4
12/1/2035,20,6,5
1/1/2036,21,6,4
2/1/2036,20,5,4
3/1/2036,21,5,5
4/1/2036,22,4,4
5/1/2036,21,6,4
6/1/2036,21,4,5
7/1/2036,22,5,4
8/1/2036,21,5,5
9/1/2036,21,5,4
10/1/2036,23,4,4
11/1/2036,18,7,5
12/1/2036,22,5,4
1/1/2037,20,7,4
2/1/2037,19,5,4
3/1/2037,22,4,5
4/1/2037,22,4,4
5/1/2037,20,6,5
6/1/2037,22,4,4
7/1/2037,22,5,4
8/1/2037,21,5,5
9/1/2037,21,5,4
10/1/2037,22,5,4
11/1/2037,19,6,5
12/1/2037,22,5,4
1/1/2038,20,7,4
2/1/2038,19,5,4
3/1/2038,22,4,5
4/1/2038,22,4,4
5/1/2038,20,6,5
6/1/2038,22,4,4
7/1/2038,22,5,4
8/1/2038,21,5,5
9/1/2038,21,5,4
10/1/2038,22,5,4
11/1/2038,19,6,5
12/1/2038,22,5,4
1/1/2039,20,7,4
2/1/2039,19,5,4
3/1/2039,22,4,5
4/1/2039,22,4,4
5/1/2039,20,6,5
6/1/2039,22,4,4
7/1/2039,22,5,4
8/1/2039,21,5,5
9/1/2039,21,5,4
10/1/2039,22,5,4
11/1/2039,19,6,5
12/1/2039,22,5,4
1/1/2040,20,7,4
2/1/2040,19,5,4
3/1/2040,22,4,5
4/1/2040,22,4,4
5/1/2040,20,6,5
6/1/2040,22,4,4
7/1/2040,22,5,4
8/1/2040,21,5,5
9/1/2040,21,5,4
10/1/2040,22,5,4
11/1/2040,19,6,5
12/1/2040,22,5,4
