"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"21",2001-09-01,21,6,4,21,4,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,277230.0476,88876.83333,67356.75,2.75,2903.363949,2913.882951,2890.236844,682.9225828,682.9225828,2.753295972,683.0805679
"22",2001-10-01,19,7,5,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2906.899879,2913.914939,2862.303334,687.5339613,687.5339613,2.75,687.8611354
"23",2001-11-01,20,6,5,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2913.138495,2924.424604,2850.804904,692.4963158,692.4963158,2.75,692.8853172
"24",2001-12-01,20,6,5,20,4,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2922.722454,2924.231762,2851.631774,697.5642084,697.5642084,2.75,697.9537864
"25",2002-01-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2931.172228,2927.648112,2851.403552,702.6399351,702.6399351,2.75,703.0138649
"26",2002-02-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2942.204335,2933.430819,2856.940585,707.7176138,707.7176138,2.75,708.0125712
"27",2002-03-01,20,7,4,20,4,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2955.483329,2943.583425,2869.83476,712.6986032,712.6986032,2.75,712.8844377
"28",2002-04-01,19,7,5,19,5,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2970.146638,2956.265163,2884.073133,717.5519645,717.5519645,2.75,717.69668
"29",2002-05-01,20,6,5,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2985.302826,2970.928059,2898.790102,722.2857821,722.2857821,2.75,722.4365423
"30",2002-06-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3000.940362,2988.434959,2913.974469,726.97243,726.97243,2.75,727.0699223
"31",2002-07-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3017.56091,3008.692199,2930.113361,731.524658,731.524658,2.75,731.5162834
"32",2002-08-01,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3034.837108,3031.022547,2946.888903,735.0732284,735.0732284,2.75,734.982371
