month,num_wkdayholminor,num_satholmajor,num_sun,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12
4/1/05,21,5,4,21,5,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/05,21,5,5,21,5,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/05,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/05,20,6,5,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/05,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/05,21,5,4,21,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/05,21,5,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/05,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/05,21,6,4,21,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/06,20,6,5,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/06,19,5,4,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/06,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/06,20,5,5,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/06,22,5,4,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/06,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/06,20,6,5,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/06,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/06,20,6,4,20,6,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/06,22,4,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/06,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/06,20,6,5,20,6,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/07,21,6,4,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/07,19,5,4,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/07,22,5,4,22,5,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/07,21,4,5,21,4,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/07,22,5,4,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/07,21,5,4,21,5,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/07,21,5,5,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/07,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/07,19,6,5,19,6,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/07,23,4,4,23,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/07,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/07,20,6,5,20,6,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/08,21,6,4,21,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/08,20,5,4,20,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/08,21,5,5,21,5,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/08,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/08,21,6,4,21,6,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/08,21,4,5,21,4,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/08,22,5,4,22,5,4,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/08,21,5,5,21,5,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/08,21,5,4,21,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/08,23,4,4,23,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/08,18,7,5,18,7,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/08,22,5,4,22,5,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/09,20,7,4,20,7,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/09,19,5,4,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/09,22,4,5,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
