"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","manhattan_base_2020_10","hudson_base_2020_10","pop_hudson_2020_10","cpi_2020_10","man_hud_2020_10","pop_hudson_2020_06","month"
"Jan 2000",2472.402238,180.4704,607.7674246,2472.396809,170.1,8143.134,2218.476594,253.9441459,8143.134,8143.134,2472.42074,2472.42074,170.1,2219.794388,253.6028616,607.7674247,170.1,2473.39725,607.7674252,2000-01-01
"Feb 2000",2486.59207852505,180.710161809223,608.315282071436,2486.59506478606,170.471852963371,8178.75466845611,2231.61613046955,254.9872600347,8178.75466845611,8178.75466845611,2486.60339098689,2486.60339098689,170.472113896167,2233.07174453332,254.606832407662,608.315278229992,170.472113896167,2487.67857693898,608.315282131603,2000-02-01
"Mar 2000",2495.37143409296,181.069363043792,608.819735545511,2495.37765019348,170.923198642384,8198.38855734503,2239.41801143253,255.960601838406,8198.38855734503,8198.38855734503,2495.37861378937,2495.37861378937,170.923544760366,2240.94406359506,255.599133194083,608.819732134931,170.923544760366,2496.54319667974,608.819735436542,2000-03-01
"Apr 2000",2500.02051,181.5209,609.2939982,2500.025987,171.433,8205.95,2243.205675,256.8203887,8205.95,8205.95,2500.026064,2500.026064,171.4333,2244.742816,256.519862,609.2939985,171.4333,2501.262678,609.2939982,2000-04-01
"May 2000",2501.99940907141,182.039210153351,609.752466982174,2502.00150144297,171.976413785327,8205.6967377583,2244.45708660012,257.54819005204,8205.6967377583,8205.6967377583,2502.00527658151,2502.00527658151,171.976587539309,2245.96129036214,257.329675590521,609.752472976762,171.976587539309,2503.2909661881,609.752467244447,2000-05-01
"Jun 2000",2503.48782424812,182.604895696174,610.214273917267,2503.48563759794,172.513371892051,8203.26014397273,2245.26832092905,258.226983501747,8203.26014397273,8203.26014397273,2503.49530397708,2503.49530397708,172.513417369848,2246.74004649219,258.071465628212,610.214285482282,172.513417369848,2504.81151257445,610.214274341486,2000-06-01
"Jul 2000",2506.845346,183.2001,610.6997348,2506.839844,173,8204.615,2247.88998,258.9650987,8204.615,8204.615,2506.855078,2506.855078,173,2249.381462,258.8086825,610.6997495,173,2508.190145,610.699735,2000-07-01
"Aug 2000",2513.53207715226,183.799260540332,611.223246577644,2513.52554688647,173.411454858282,8214.01904717732,2253.80002924108,259.744105079356,8214.01904717732,8214.01904717732,2513.54413361298,2513.54413361298,173.411543354002,2255.37882549957,259.501982970992,611.223260681477,173.411543354002,2514.88080875305,611.223246042459,2000-08-01
"Sep 2000",2521.4101699516,184.34599120855,611.775530807648,2521.40408330365,173.799017493117,8228.86186676407,2261.38588774016,260.038531199054,8228.86186676407,8228.86186676407,2521.4244183764,2521.4244183764,173.799245019503,2262.98906962139,259.700849318997,611.775543350758,173.799245019503,2522.68991891136,611.775529545665,2000-09-01
"Oct 2000",2527.442289,184.7762,612.3413902,2527.436768,174.233,8244.816,2268.262338,259.1961454,8244.816,8244.816,2527.458483,2527.458483,174.2333,2269.660038,258.8519702,612.341404,174.2333,2528.512008,612.3413889,2000-10-01
