month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
4/1/1999,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,603.0886231,1.531676136,NA,NA,NA,2404.588391,NA,NA,NA
5/1/1999,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,603.5684455,1.53080636,NA,NA,NA,2410.332491,NA,NA,NA
6/1/1999,NA,NA,NA,NA,NA,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,604.0599797,1.524745475,NA,NA,NA,2418.053416,NA,NA,NA
7/1/1999,NA,NA,NA,NA,NA,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,604.5681194,1.521303612,NA,NA,NA,2424.794835,NA,NA,NA
8/1/1999,NA,NA,NA,NA,NA,22,4,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,605.0953234,1.517877252,NA,NA,NA,2428.607953,NA,NA,NA
9/1/1999,NA,NA,NA,NA,NA,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,605.6343102,1.512766554,NA,NA,NA,2431.574124,NA,NA,NA
10/1/1999,NA,NA,NA,NA,NA,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,606.1753633,1.506847401,NA,NA,NA,2436.782242,NA,NA,NA
11/1/1999,NA,NA,NA,NA,NA,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,606.7107535,1.507690157,NA,NA,NA,2446.420218,NA,NA,NA
12/1/1999,NA,NA,NA,NA,NA,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,607.2407007,1.509378499,NA,NA,NA,2459.072046,NA,NA,NA
1/1/2000,232710,85325.66667,60462,NA,NA,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,607.7674125,1.503485778,NA,NA,NA,2472.42074,NA,NA,NA
