"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","month"
"Jun 2003",2320.21375241077,197.5954681163,615.35675432252,2320.21624468569,183.922033331043,8017.10346438598,2075.97692989077,244.24739395538,8017.10346438598,8017.10346438598,2320.22432383757,2320.22432383757,183.922146558977,2003-06-01
"Jul 2003",2322.598882,198.3918,615.401946,2322.598882,184.433,8021.341,2078.871792,243.7364458,8021.341,8021.341,2322.608238,2322.608238,184.4333,2003-07-01
"Aug 2003",2325.13418643387,199.082710355734,615.422401057913,2325.13323988629,184.72547952535,8025.8612007211,2081.52987908587,243.613014696799,8025.8612007211,8025.8612007211,2325.14289402235,2325.14289402235,184.725858433072,2003-08-01
"Sep 2003",2326.57875044241,199.660838205016,615.416333388664,2326.5780766557,184.900916727835,8029.24237531654,2082.85459000136,243.732910346122,8029.24237531654,8029.24237531654,2326.58750051708,2326.58750051708,184.901283246693,2003-09-01
"Oct 2003",2325.681223,200.1587,615.3905631,2325.681223,185.133,8030.15,2081.802687,243.8880129,8030.15,8030.15,2325.6907,2325.6907,185.1333,2003-10-01
"Nov 2003",2321.90917701766,200.620395393561,615.352480662814,2321.90957263322,185.550750691426,8028.03594592166,2078.00430592681,243.915686191604,8028.03594592166,8028.03594592166,2321.91999222633,2321.91999222633,185.550961752526,2003-11-01
"Dec 2003",2317.60588115293,201.136356841418,615.3117580006,2317.60627135819,186.10452197984,8025.4976639775,2073.78307699267,243.835228778652,8025.4976639775,8025.4976639775,2317.61830590891,2317.61830590891,186.104631565366,2003-12-01
"Jan 2004",2315.833528,201.8086,615.2786374,2315.833528,186.7,8025.919,2072.136004,243.7114229,8025.919,8025.919,2315.847427,2315.847427,186.7,2004-01-01
"Feb 2004",2318.63381331032,202.683841403354,615.259706650091,2318.63317739566,187.25670289413,8031.60938596263,2075.05728854025,243.59142499234,8031.60938596263,8031.60938596263,2318.64871347973,2318.64871347973,187.256590853118,2004-02-01
"Mar 2004",2323.9664454644,203.587601095983,615.246935549678,2323.96555843006,187.749476834291,8040.58059840308,2080.52992336129,243.451888283713,8040.58059840308,8040.58059840308,2323.98181143987,2323.98181143987,187.749260862218,2004-03-01
"Apr 2004",2328.770636,204.2901,615.2286394,2328.770636,188.167,8049.77,2085.534099,243.2518402,8049.77,8049.77,2328.785939,2328.785939,188.1667,2004-04-01
"May 2004",2330.74016122254,204.645483437465,615.197352481267,2330.74249478413,188.516919213534,8056.77599170927,2087.78231180106,242.972625916814,8056.77599170927,8056.77599170927,2330.75493778064,2330.75493778064,188.516567427593,2004-05-01
"Jun 2004",2330.587056508,204.843594330208,615.162484989577,2330.59169858826,188.882755868186,8061.84112759539,2087.91628133998,242.684861608715,8061.84112759539,8061.84112759539,2330.60114340572,2330.60114340572,188.882399059837,2004-06-01
"Jul 2004",2329.777922,205.1582,615.1376661,2329.782931,189.367,8065.869,2087.310033,242.4814812,8065.869,8065.869,2329.791515,2329.791515,189.3667,2004-07-01
"Aug 2004",2329.55733842914,205.796976698635,615.132248095211,2329.55958613448,190.029360992473,8069.47509164471,2087.1036102555,242.467214977441,8069.47509164471,8069.47509164471,2329.57082617546,2329.57082617546,190.02918017725,2004-08-01
