"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Jan 2000",2472.402238,180.4704,607.7674246,2472.396809,170.1,8143.134,2000-01-01
"Feb 2000",2486.59207852505,180.710161809223,608.315282071436,2486.59506478606,170.471852963371,8178.75466845611,2000-02-01
"Mar 2000",2495.37143409296,181.069363043792,608.819735545511,2495.37765019348,170.923198642384,8198.38855734503,2000-03-01
"Apr 2000",2500.02051,181.5209,609.2939982,2500.025987,171.433,8205.95,2000-04-01
"May 2000",2501.99940907141,182.039210153351,609.752466982174,2502.00150144297,171.976413785327,8205.6967377583,2000-05-01
"Jun 2000",2503.48782424812,182.604895696174,610.214273917267,2503.48563759794,172.513371892051,8203.26014397273,2000-06-01
"Jul 2000",2506.845346,183.2001,610.6997348,2506.839844,173,8204.615,2000-07-01
"Aug 2000",2513.53207715226,183.799260540332,611.223246577644,2513.52554688647,173.411454858282,8214.01904717732,2000-08-01
"Sep 2000",2521.4101699516,184.34599120855,611.775530807648,2521.40408330365,173.799017493117,8228.86186676407,2000-09-01
"Oct 2000",2527.442289,184.7762,612.3413902,2527.436768,174.233,8244.816,2000-10-01
"Nov 2000",2529.22125913434,185.058925463096,612.906763188728,2529.21548704815,174.760877892654,8257.94788834717,2000-11-01
"Dec 2000",2526.86054613069,185.295728358515,613.462131103997,2526.8544118171,175.338780357705,8265.89957415624,2000-12-01
"Jan 2001",2521.103776,185.6213,613.999111,2521.098285,175.9,8266.707,2001-01-01
"Feb 2001",2512.95655738447,186.122952422098,614.517164245218,2512.9533267728,176.389552089617,8259.74684387842,2001-02-01
"Mar 2001",2504.47242945154,186.698480542576,615.047129465257,2504.47166724274,176.799342557546,8249.75872549988,2001-03-01
"Apr 2001",2497.966914,187.1983,615.6276896,2497.966914,177.133,8242.823,2001-04-01
"May 2001",2494.40284414262,187.507827811473,616.265296526693,2494.40078808293,177.391173008134,8242.10232873179,2001-05-01
"Jun 2001",2489.33229824829,187.652486508221,616.837477872015,2489.327464323,177.562590152853,8239.08859791827,2001-06-01
"Jul 2001",2476.954666,187.6927,617.1895302,2476.949231,177.633,8222.356,2001-07-01
"Aug 2001",2453.81843052659,187.698702998676,617.220486199861,2453.81637648813,177.603126248217,8185.09717452782,2001-08-01
"Sep 2001",2425.86844874042,187.779973424543,617.044323061502,2425.87118953928,177.53359312734,8138.97854949363,2001-09-01
"Oct 2001",2401.398671,188.0558,616.8287541,2401.403959,177.5,8100.285,2001-10-01
"Nov 2001",2386.6694168993,188.597767601229,616.704373318307,2386.67252563131,177.566692369367,8081.04719537931,2001-11-01
"Dec 2001",2379.80648297511,189.286645719535,616.653297470868,2379.8049378531,177.753000300752,8076.27898188483,2001-12-01
"Jan 2002",2376.902035,189.9555,616.620524,2376.896796,178.067,8076.74,2002-01-01
"Feb 2002",2374.65412906148,190.477930300109,616.56190424543,2374.64870980149,178.502363533574,8074.87245136241,2002-02-01
"Mar 2002",2372.18438250723,190.889673326948,616.476705136509,2372.18132656678,178.995146410396,8069.84878222628,2002-03-01
"Apr 2002",2369.220303,191.267,616.3750475,2369.220303,179.467,8062.524,2002-04-01
"May 2002",2365.59904789185,191.668522309443,616.267616774049,2365.60132905163,179.856594237077,8053.93699917106,2002-05-01
"Jun 2002",2361.59637329224,192.082216528229,616.167356842354,2361.60022765754,180.170673316928,8045.86222254337,2002-06-01
"Jul 2002",2357.597685,192.4784,616.0877762,2357.602855,180.433,8040.258,2002-07-01
"Aug 2002",2353.92755081557,192.85124342508,616.037554573188,2353.93397291793,180.680407666263,8038.48351491633,2002-08-01
"Sep 2002",2350.667186546,193.290330930508,616.006056612592,2350.6739658771,181.002012173748,8039.50136463724,2002-09-01
"Oct 2002",2347.83697,193.9091,615.9778182,2347.842124,181.5,8041.675,2002-10-01
"Nov 2002",2345.30245984589,194.755522508754,615.937533344309,2345.30356238777,182.213330653425,8043.39997820067,2002-11-01
"Dec 2002",2342.30993819042,195.61570789789,615.870528562835,2342.30669605626,182.928055765861,8043.20028187061,2002-12-01
"Jan 2003",2337.950868,196.2103,615.7622885,2337.945765,183.367,8039.632,2003-01-01
"Feb 2003",2331.80157428237,196.363162836196,615.609431434761,2331.79887386433,183.357047497814,8032.0796833921,2003-02-01
"Mar 2003",2325.37783021081,196.311041181638,615.453110184217,2325.37958589784,183.141320318367,8023.24173010251,2003-03-01
"Apr 2003",2320.680271,196.3939,615.3456112,2320.685329,183.067,8016.645,2003-04-01
"May 2003",2319.17796991353,196.86058540572,615.323036994424,2319.18285915494,183.380108984949,8014.91895489763,2003-05-01
"Jun 2003",2320.21375241077,197.5954681163,615.35675432252,2320.21624468569,183.922033331043,8017.10346438598,2003-06-01
"Jul 2003",2322.598882,198.3918,615.401946,2322.598882,184.433,8021.341,2003-07-01
"Aug 2003",2325.13418643387,199.082710355734,615.422401057913,2325.13323988629,184.72547952535,8025.8612007211,2003-08-01
