"","man_hud","cpi","pop_hudson","man_hud_COVID","month_"
"Oct 2001",2401.398671,188.0558,616.8287541,2401.403959,2001-10-01
"Nov 2001",2386.66963647093,188.597756071916,616.70437572397,2386.67274567157,2001-11-01
"Dec 2001",2379.80663167321,189.286637911665,616.653299100028,2379.80508686855,2001-12-01
"Jan 2002",2376.902035,189.9555,616.620524,2376.896796,2002-01-01
"Feb 2002",2374.65407022744,190.477933389379,616.561903600834,2374.64865084188,2002-02-01
"Mar 2002",2372.1843426637,190.889675419061,616.476704699977,2372.18128663821,2002-03-01
"Apr 2002",2369.220303,191.267,616.3750475,2369.220303,2002-04-01
"May 2002",2365.59906365639,191.668521481676,616.267616946768,2365.60134484981,2002-05-01
"Jun 2002",2361.59638396829,192.082215967649,616.167356959323,2361.60023835637,2002-06-01
"Jul 2002",2357.597685,192.4784,616.0877762,2357.602855,2002-07-01
"Aug 2002",2353.92754659147,192.851243646879,616.037554526908,2353.93396868482,2002-08-01
"Sep 2002",2350.66718368536,193.290331080715,616.00605658125,2350.67396301036,2002-09-01
"Oct 2002",2347.83697,193.9091,615.9778182,2347.842124,2002-10-01
"Nov 2002",2345.30246097773,194.755522449323,615.93753335671,2345.30356352203,2002-11-01
"Dec 2002",2342.30993895693,195.615707857642,615.870528571233,2342.3066968244,2002-12-01
"Jan 2003",2337.950868,196.2103,615.7622885,2337.945765,2003-01-01
"Feb 2003",2331.8015739791,196.36316285212,615.609431431439,2331.79887356041,2003-02-01
"Mar 2003",2325.37783000542,196.311041192422,615.453110181966,2325.37958569202,2003-03-01
"Apr 2003",2320.680271,196.3939,615.3456112,2320.685329,2003-04-01
"May 2003",2319.1779699948,196.860585401453,615.323036995314,2319.18285923637,2003-05-01
"Jun 2003",2320.2137524658,197.595468113411,615.356754323123,2320.21624474084,2003-06-01
"Jul 2003",2322.598882,198.3918,615.401946,2322.598882,2003-07-01
"Aug 2003",2325.13418641209,199.082710356878,615.422401057674,2325.13323986447,2003-08-01
"Sep 2003",2326.57875042766,199.66083820579,615.416333388503,2326.57807664092,2003-09-01
"Oct 2003",2325.681223,200.1587,615.3905631,2325.681223,2003-10-01
"Nov 2003",2321.90917702349,200.620395393254,615.352480662878,2321.90957263907,2003-11-01
"Dec 2003",2317.60588115688,201.13635684121,615.311758000643,2317.60627136215,2003-12-01
"Jan 2004",2315.833528,201.8086,615.2786374,2315.833528,2004-01-01
"Feb 2004",2318.63381330875,202.683841403436,615.259706650074,2318.63317739409,2004-02-01
"Mar 2004",2323.96644546334,203.587601096039,615.246935549666,2323.965558429,2004-03-01
"Apr 2004",2328.770636,204.2901,615.2286394,2328.770636,2004-04-01
"May 2004",2330.74016122296,204.645483437443,615.197352481272,2330.74249478455,2004-05-01
"Jun 2004",2330.58705650829,204.843594330193,615.16248498958,2330.59169858854,2004-06-01
"Jul 2004",2329.777922,205.1582,615.1376661,2329.782931,2004-07-01
"Aug 2004",2329.55733842903,205.796976698641,615.13224809521,2329.55958613437,2004-08-01
"Sep 2004",2330.28180887389,206.703236398004,615.138475688308,2330.27990021684,2004-09-01
"Oct 2004",2332.085817,207.7542,615.1443167,2332.08082,2004-10-01
"Nov 2004",2335.01422046833,208.820380138361,615.140826134186,2335.00904486315,2004-11-01
"Dec 2004",2338.75337292209,209.74545637409,615.131407727556,2338.75028469227,2004-12-01
"Jan 2005",2342.900002,210.3664,615.1225524,2342.900002,2005-01-01
