"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"26",2021-10-01,300933.680615848,132131.620621103,96965.4723845468,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6018673.61231696,660658.103105515,581792.834307281
"27",2021-11-01,294898.644900241,126738.09767723,93247.7584813456,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5603074.25310458,506952.39070892,652734.309369419
"28",2021-12-01,285175.443597874,126984.070271623,95436.2829188182,21,6,4,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,5988684.31555536,507936.281086494,572617.697512909
"29",2022-01-01,283836.710794772,112444.490120999,79409.7787763705,20,6,5,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5676734.21589543,562222.450604994,476458.672658223
"30",2022-02-01,289092.814425476,119385.925273716,84893.7609999863,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5492763.47408405,477543.701094863,424468.804999931
"31",2022-03-01,291821.159758249,133171.182243458,87771.8171865516,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6711886.67443973,532684.728973832,351087.268746206
"32",2022-04-01,297354.899967002,135422.477900339,93963.9025783395,21,5,4,21,5,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6244452.89930705,677112.389501696,375855.610313358
"33",2022-05-01,300213.452575468,127530.53676898,98633.8125528978,21,5,5,21,4,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6304482.50408482,510122.147075919,591802.875317387
"34",2022-06-01,303618.522422999,134769.248133168,104203.004076894,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6679607.49330597,539076.992532671,416812.016307577
"35",2022-07-01,299683.792798246,131060.732567378,97906.5332437613,20,6,5,20,5,6,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,5993675.85596492,655303.66283689,587439.199462568
"36",2022-08-01,293734.731539834,129949.496311271,96502.8323846382,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6755898.82541618,519797.985245083,386011.329538553
"37",2022-09-01,304220.792231017,131259.175090366,101332.25918583,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6388636.63685136,525036.700361465,506661.295929151
"38",2022-10-01,302268.360571189,135076.389315617,98693.422094147,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6045367.21142378,675381.946578085,592160.532564882
"39",2022-11-01,296276.712997631,129680.473022551,94974.303265393,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5629257.54695499,518721.892090204,664820.122857751
"40",2022-12-01,286594.461392561,129924.62882927,97161.761937169,21,6,4,21,5,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6018483.68924379,649623.144146348,485808.809685845
"41",2023-01-01,285288.170611934,115383.743237988,81134.4916139925,20,6,5,20,4,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5705763.41223867,461534.972951953,567941.441297948
"42",2023-02-01,290563.861613103,122324.137064299,86617.8628938882,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5520713.37064896,489296.548257198,433089.314469441
